report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2010-01-05T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,62114,15006,20892,83608,108728,2010-01-05,47108,-62716
2010-01-12T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,73240,13888,23798,100860,126970,2010-01-12,59352,-77062
2010-01-19T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,77331,14480,24229,107538,133086,2010-01-19,62851,-83309
2010-01-26T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,61097,15779,23947,84010,112867,2010-01-26,45318,-60063
2010-02-02T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,46531,13260,24041,69877,98426,2010-02-02,33271,-45836
2010-02-09T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,44346,16740,31470,64292,99643,2010-02-09,27606,-32822
2010-02-16T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,43315,16312,30745,65385,98449,2010-02-16,27003,-34640
2010-02-23T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,51882,12890,27846,79853,108320,2010-02-23,38992,-52007
2010-03-02T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,59106,10345,27975,92352,116667,2010-03-02,48761,-64377
2010-03-09T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,69885,8600,29687,108447,130808,2010-03-09,61285,-78760
2010-03-16T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,73747,10253,22806,105720,126301,2010-03-16,63494,-82914
2010-03-23T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,84248,9909,25514,116708,142413,2010-03-23,74339,-91194
2010-03-30T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,79698,10358,28480,116105,142815,2010-03-30,69340,-87625
2010-04-06T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,84060,10862,27933,124526,151605,2010-04-06,73198,-96593
2010-04-13T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,88635,7961,26134,128840,154014,2010-04-13,80674,-102706
2010-04-20T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,87169,8265,28159,129072,154367,2010-04-20,78904,-100913
2010-04-27T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,75357,9289,30000,112994,140472,2010-04-27,66068,-82994
2010-05-04T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,68196,11214,36175,106918,136437,2010-05-04,56982,-70743
2010-05-11T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,56155,6957,35575,91981,115269,2010-05-11,49198,-56406
2010-05-18T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,50564,12184,36692,83248,113271,2010-05-18,38380,-46556
2010-05-25T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,39367,19844,45318,68966,106473,2010-05-25,19523,-23648
2010-06-01T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,37021,21976,52653,65964,110772,2010-06-01,15045,-13311
2010-06-08T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,29746,21311,57197,69578,108956,2010-06-08,8435,-12381
2010-06-15T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,27729,15323,10978,24015,57653,2010-06-15,12406,-13037
2010-06-22T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,29809,18003,11625,27219,60340,2010-06-22,11806,-15594
2010-06-29T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,28105,15251,11191,27689,59657,2010-06-29,12854,-16498
2010-07-06T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,25885,18639,16180,26973,64872,2010-07-06,7246,-10793
2010-07-13T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,35209,11729,11605,40217,68482,2010-07-13,23480,-28612
2010-07-20T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,45253,12367,11829,50979,80302,2010-07-20,32886,-39150
2010-07-27T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,51282,10749,12858,62833,89389,2010-07-27,40533,-49975
2010-08-03T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,62096,13381,12383,71518,99149,2010-08-03,48715,-59135
2010-08-10T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,68353,13983,19236,83895,114049,2010-08-10,54370,-64659
2010-08-17T00:00:00.000,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,71020,13323,22053,90861,120329,2010-08-17,57697,-68808
