report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2010-01-05T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,18031,51595,60287,14463,92891,2010-01-05,-33564,45824
2010-01-12T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,15182,50649,56340,11583,89147,2010-01-12,-35467,44757
2010-01-19T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,21199,41370,41982,17464,83337,2010-01-19,-20171,24518
2010-01-26T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,15075,42228,54925,21890,86475,2010-01-26,-27153,33035
2010-02-02T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,14611,48579,63527,19993,95712,2010-02-02,-33968,43534
2010-02-09T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,14012,66768,84481,18914,116362,2010-02-09,-52756,65567
2010-02-16T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,13922,70001,89737,17370,119085,2010-02-16,-56079,72367
2010-02-23T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,13882,76766,96642,15674,125106,2010-02-23,-62884,80968
2010-03-02T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,13862,81411,94797,16253,129123,2010-03-02,-67549,78544
2010-03-09T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,10417,73890,119211,38707,148562,2010-03-09,-63473,80504
2010-03-16T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,11731,75718,94765,14211,121551,2010-03-16,-63987,80554
2010-03-23T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,11349,82973,105029,15981,130646,2010-03-23,-71624,89048
2010-03-30T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,11965,79038,104446,21916,132818,2010-03-30,-67073,82530
2010-04-06T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,14281,73755,100224,23141,129290,2010-04-06,-59474,77083
2010-04-13T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,13390,70781,92380,23895,121947,2010-04-13,-57391,68485
2010-04-20T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,14258,63556,88773,27781,121340,2010-04-20,-49298,60992
2010-04-27T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,11634,66300,90014,22996,119871,2010-04-27,-54666,67018
2010-05-04T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,13062,78678,102545,20202,133988,2010-05-04,-65616,82343
2010-05-11T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,10269,82457,115351,23897,142670,2010-05-11,-72188,91454
2010-05-18T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,10492,87237,125341,29892,152357,2010-05-18,-76745,95449
2010-05-25T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,10962,86041,126666,29488,151212,2010-05-25,-75079,97178
2010-06-01T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,11809,82263,123405,29748,149216,2010-06-01,-70454,93657
2010-06-08T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,14146,88826,134423,37212,167076,2010-06-08,-74680,97211
2010-06-15T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,13081,61215,91566,25052,119301,2010-06-15,-48134,66514
2010-06-22T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,15921,62267,93645,31529,125471,2010-06-22,-46346,62116
2010-06-29T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,17626,52397,88635,36665,121233,2010-06-29,-34771,51970
2010-07-06T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,18442,56519,89405,39667,123693,2010-07-06,-38077,49738
2010-07-13T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,15501,50172,98635,52012,131680,2010-07-13,-34671,46623
2010-07-20T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,16448,43215,92451,58754,124904,2010-07-20,-26767,33697
2010-07-27T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,17107,35047,88676,60585,122570,2010-07-27,-17940,28091
2010-08-03T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,31058,31308,82832,78143,135454,2010-08-03,-250,4689
2010-08-10T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,35915,30894,82534,87126,142227,2010-08-10,5021,-4592
2010-08-17T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,31467,35898,83970,82482,141441,2010-08-17,-4431,1488
2010-08-24T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,28511,32876,86511,82980,139333,2010-08-24,-4365,3531
2010-08-31T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,23052,38318,96716,77121,144196,2010-08-31,-15266,19595
2010-09-07T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,21363,37431,96791,72743,145712,2010-09-07,-16068,24048
2010-09-14T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,21108,30235,31126,22726,74850,2010-09-14,-9127,8400
2010-09-21T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,17858,26847,30333,23643,71318,2010-09-21,-8989,6690
2010-09-28T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,26725,28919,25415,27634,77713,2010-09-28,-2194,-2219
2010-10-05T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,37064,27661,23758,39982,86536,2010-10-05,9403,-16224
2010-10-12T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,39870,31804,26610,40769,92868,2010-10-12,8066,-14159
2010-10-19T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,34708,28912,31962,40875,90068,2010-10-19,5796,-8913
2010-10-26T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,33001,27912,28511,38142,86611,2010-10-26,5089,-9631
2010-11-02T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,39900,24718,26685,45700,91819,2010-11-02,15182,-19015
2010-11-09T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,41915,20649,24702,55976,96533,2010-11-09,21266,-31274
2010-11-16T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,45677,21906,29403,56634,98997,2010-11-16,23771,-27231
2010-11-23T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,35839,25642,34087,46798,93914,2010-11-23,10197,-12711
2010-11-30T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,24409,29273,41148,34219,85587,2010-11-30,-4864,6929
2010-12-07T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,14242,27162,52143,36262,86269,2010-12-07,-12920,15881
2010-12-14T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,12205,20391,37905,28386,67820,2010-12-14,-8186,9519
2010-12-21T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,14579,22011,36813,25689,69207,2010-12-21,-7432,11124
2010-12-28T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,18294,31415,46533,26113,82141,2010-12-28,-13121,20420
2011-01-04T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,17494,31627,49436,27719,84270,2011-01-04,-14133,21717
2011-01-11T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,21014,26104,46290,34749,86335,2011-01-11,-5090,11541
2011-01-18T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,31415,25621,32530,43587,90630,2011-01-18,5794,-11057
2011-01-25T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,36028,28140,31035,46435,96648,2011-01-25,7888,-15400
2011-02-01T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,46923,24264,29231,61587,108587,2011-02-01,22659,-32356
2011-02-08T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,49204,24729,30413,65136,111363,2011-02-08,24475,-34723
2011-02-15T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,68885,16313,28577,95012,132763,2011-02-15,52572,-66435
2011-02-22T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,53097,17088,37732,84835,123774,2011-02-22,36009,-47103
2011-03-01T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,52122,26313,38690,77923,126350,2011-03-01,25809,-39233
2011-03-08T00:00:00.000,BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,54967,21061,47957,96190,145352,2011-03-08,33906,-48233
