report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2010-01-05T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,51736,11540,13715,80381,107554,2010-01-05,40196,-66666
2010-01-12T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,60219,11524,15139,89153,117310,2010-01-12,48695,-74014
2010-01-19T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,58048,11245,17807,91505,120271,2010-01-19,46803,-73698
2010-01-26T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,35659,9850,17315,65469,91375,2010-01-26,25809,-48154
2010-02-02T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,25639,10284,20658,53799,82692,2010-02-02,15355,-33141
2010-02-09T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,24285,15422,23962,51289,84317,2010-02-09,8863,-27327
2010-02-16T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,35026,11571,19153,65881,93330,2010-02-16,23455,-46728
2010-02-23T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,40224,11803,19273,72712,100629,2010-02-23,28421,-53439
2010-03-02T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,47170,8881,21003,83479,109517,2010-03-02,38289,-62476
2010-03-09T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,71350,9951,25132,113034,138991,2010-03-09,61399,-87902
2010-03-16T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,80982,11342,50877,145795,180184,2010-03-16,69640,-94918
2010-03-23T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,90278,17251,14953,120060,152885,2010-03-23,73027,-105107
2010-03-30T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,88595,18299,18473,119260,152133,2010-03-30,70296,-100787
2010-04-06T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,88881,19569,17564,116038,151537,2010-04-06,69312,-98474
2010-04-13T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,87918,17443,19767,120177,153401,2010-04-13,70475,-100410
2010-04-20T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,82664,13008,17808,119302,149360,2010-04-20,69656,-101494
2010-04-27T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,72366,13168,24191,114293,144191,2010-04-27,59198,-90102
2010-05-04T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,65431,13419,25697,106160,137181,2010-05-04,52012,-80463
2010-05-11T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,58010,7556,26666,98039,122092,2010-05-11,50454,-71373
2010-05-18T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,53254,8369,33225,100637,124952,2010-05-18,44885,-67412
2010-05-25T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,40113,16241,41847,88535,122642,2010-05-25,23872,-46688
2010-06-01T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,37262,15108,40741,82665,117450,2010-06-01,22154,-41924
2010-06-08T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,36775,14265,44943,88477,121438,2010-06-08,22510,-43534
2010-06-15T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,37460,10106,47624,95293,127919,2010-06-15,27354,-47669
2010-06-22T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,38499,12146,13163,60779,86397,2010-06-22,26353,-47616
2010-06-29T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,31575,15681,20026,58490,88461,2010-06-29,15894,-38464
2010-07-06T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,28549,20455,29407,55809,92565,2010-07-06,8094,-26402
2010-07-13T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,27952,5914,23275,66041,87394,2010-07-13,22038,-42766
2010-07-20T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,23739,7315,21328,60385,83317,2010-07-20,16424,-39057
2010-07-27T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,27045,3177,20687,65523,85121,2010-07-27,23868,-44836
2010-08-03T00:00:00.000,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,40335,6153,18145,77619,99262,2010-08-03,34182,-59474
