report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2010-01-05T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,37229,73017,75603,46052,156155,2010-01-05,-35788,29551
2010-01-12T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,36186,54103,77041,65306,161287,2010-01-12,-17917,11735
2010-01-19T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,34186,59468,80493,59772,164501,2010-01-19,-25282,20721
2010-01-26T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,33106,72645,107572,66224,184978,2010-01-26,-39539,41348
2010-02-02T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,31207,74948,110320,63773,186878,2010-02-02,-43741,46547
2010-02-09T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,34867,92019,120004,56636,197457,2010-02-09,-57152,63368
2010-02-16T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,34459,93881,119236,55730,196042,2010-02-16,-59422,63506
2010-02-23T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,32728,104351,135199,56953,208474,2010-02-23,-71623,78246
2010-03-02T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,35894,102664,135287,66049,218803,2010-03-02,-66770,69238
2010-03-09T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,32589,107140,169613,88988,243524,2010-03-09,-74551,80625
2010-03-16T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,41800,88141,82124,32720,163822,2010-03-16,-46341,49404
2010-03-23T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,39953,114870,113860,31884,195287,2010-03-23,-74917,81976
2010-03-30T00:00:00.000,EURO FX - CHICAGO MERCANTILE EXCHANGE,35205,120531,147689,49896,223554,2010-03-30,-85326,97793
