report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2010-01-05T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,20634,37445,68983,41659,104231,2010-01-05,-16811,27324
2010-01-12T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,21951,38695,82160,49902,120568,2010-01-12,-16744,32258
2010-01-19T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,23718,40814,80293,51178,122367,2010-01-19,-17096,29115
2010-01-26T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,28821,33168,67644,59405,119819,2010-01-26,-4347,8239
2010-02-02T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,30177,23042,63746,65814,116129,2010-02-02,7135,-2068
2010-02-09T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,41352,18956,53299,73235,120060,2010-02-09,22396,-19936
2010-02-16T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,35691,21779,60328,70531,119816,2010-02-16,13912,-10203
2010-02-23T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,30432,28715,70481,65562,122919,2010-02-23,1717,4919
2010-03-02T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,57332,24780,50719,80941,133600,2010-03-02,32552,-30222
2010-03-09T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,51919,25631,62037,85470,137443,2010-03-09,26288,-23433
2010-03-16T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,41278,26081,35087,43303,95999,2010-03-16,15197,-8216
2010-03-23T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,41030,30869,37353,38587,96913,2010-03-23,10161,-1234
2010-03-30T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,17174,48040,74872,23538,109417,2010-03-30,-30866,51334
2010-04-06T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,18596,60901,87835,23016,123837,2010-04-06,-42305,64819
2010-04-13T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,12573,68319,104015,23927,131723,2010-04-13,-55746,80088
2010-04-20T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,14211,64549,105379,27213,134324,2010-04-20,-50338,78166
2010-04-27T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,15018,64795,107397,32833,137780,2010-04-27,-49777,74564
2010-05-04T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,12430,78042,119606,26740,147243,2010-05-04,-65612,92866
2010-05-11T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,23265,57934,106673,60755,146389,2010-05-11,-34669,45918
2010-05-18T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,21393,55682,106814,55727,142699,2010-05-18,-34289,51087
2010-05-25T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,31994,42232,89420,68704,140769,2010-05-25,-10238,20716
2010-06-01T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,33215,39699,79929,66438,133365,2010-06-01,-6484,13491
2010-06-08T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,28519,41066,85012,63595,133010,2010-06-08,-12547,21417
2010-06-15T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,23304,26984,43467,26882,82217,2010-06-15,-3680,16585
2010-06-22T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,29257,25627,43517,39436,91415,2010-06-22,3630,4081
2010-06-29T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,51721,24294,43161,74113,120484,2010-06-29,27427,-30952
2010-07-06T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,62476,24550,43431,86278,135128,2010-07-06,37926,-42847
2010-07-13T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,63205,15846,42411,94944,133665,2010-07-13,47359,-52533
2010-07-20T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,54733,13822,43093,90752,127658,2010-07-20,40911,-47659
2010-07-27T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,48488,18567,47996,78595,124595,2010-07-27,29921,-30599
2010-08-03T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,61723,13725,42108,92011,133870,2010-08-03,47998,-49903
2010-08-10T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,65314,12836,42754,95218,136999,2010-08-10,52478,-52464
2010-08-17T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,62745,12776,45729,94054,137645,2010-08-17,49969,-48325
2010-08-24T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,63086,12017,44860,94835,140128,2010-08-24,51069,-49975
2010-08-31T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,61219,11315,48388,94844,139079,2010-08-31,49904,-46456
2010-09-07T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,65440,13257,56195,105685,150513,2010-09-07,52183,-49490
2010-09-14T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,61215,13573,43822,93631,134360,2010-09-14,47642,-49809
2010-09-21T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,39948,16848,46822,73279,113349,2010-09-21,23100,-26457
2010-09-28T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,45136,16470,45380,77232,118274,2010-09-28,28666,-31852
2010-10-05T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,66866,17660,44606,96417,142488,2010-10-05,49206,-51811
2010-10-12T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,66463,18178,48326,98217,146581,2010-10-12,48285,-49891
2010-10-19T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,62554,16698,47485,91956,139496,2010-10-19,45856,-44471
2010-10-26T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,61305,18176,48456,91135,139850,2010-10-26,43129,-42679
2010-11-02T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,63061,16606,45614,95686,140062,2010-11-02,46455,-50072
2010-11-09T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,54256,17602,51645,85735,140515,2010-11-09,36654,-34090
2010-11-16T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,47595,24737,54366,73253,131701,2010-11-16,22858,-18887
2010-11-23T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,51161,23969,51366,74625,129620,2010-11-23,27192,-23259
2010-11-30T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,55791,25785,51521,75586,133069,2010-11-30,30006,-24065
2010-12-07T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,47661,24373,55384,74207,132233,2010-12-07,23288,-18823
2010-12-14T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,34996,22261,41019,43890,96110,2010-12-14,12735,-2871
2010-12-21T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,34243,21714,36574,38943,90072,2010-12-21,12529,-2369
2010-12-28T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,49941,20300,35204,59053,109343,2010-12-28,29641,-23849
2011-01-04T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,65924,26859,35714,74487,128483,2011-01-04,39065,-38773
2011-01-11T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,43884,19148,39826,57651,107132,2011-01-11,24736,-17825
2011-01-18T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,46258,25729,38744,53151,110405,2011-01-18,20529,-14407
2011-01-25T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,54495,22277,36405,63818,116661,2011-01-25,32218,-27413
2011-02-01T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,52648,21167,36222,61666,116384,2011-02-01,31481,-25444
2011-02-08T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,56607,19876,34434,63374,117705,2011-02-08,36731,-28940
2011-02-15T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,24389,42937,71070,37558,116803,2011-02-15,-18548,33512
2011-02-22T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,23457,51203,78336,37856,124016,2011-02-22,-27746,40480
2011-03-01T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,62396,21122,47763,79625,136561,2011-03-01,41274,-31862
2011-03-08T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,43205,26549,60542,68760,131247,2011-03-08,16656,-8218
2011-03-15T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,52603,22373,29577,56979,114701,2011-03-15,30230,-27402
2011-03-22T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,52484,17959,30066,65912,112051,2011-03-22,34525,-35846
2011-03-29T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,37737,30685,33152,38976,100377,2011-03-29,7052,-5824
2011-04-05T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,16516,59747,81153,19159,120632,2011-04-05,-43231,61994
2011-04-12T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,14183,67060,95231,18248,130084,2011-04-12,-52877,76983
2011-04-19T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,12935,65918,96035,21785,127838,2011-04-19,-52983,74250
2011-04-26T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,14063,51060,76538,22612,114134,2011-04-26,-36997,53926
2011-05-03T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,19779,38598,58959,27519,104590,2011-05-03,-18819,31440
2011-05-10T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,36100,23046,40579,41896,102289,2011-05-10,13054,-1317
2011-05-17T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,38016,22643,40617,43409,103453,2011-05-17,15373,-2792
2011-05-24T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,32188,24182,41588,41871,99264,2011-05-24,8006,-283
2011-05-31T00:00:00.000,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,24186,25834,44221,35534,95929,2011-05-31,-1648,8687
