report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2010-01-05T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,18106,5133,1457,16490,23053,2010-01-05,12973,-15033
2010-01-12T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,21417,5734,1196,18810,25732,2010-01-12,15683,-17614
2010-01-19T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,22397,6041,1218,19664,26917,2010-01-19,16356,-18446
2010-01-26T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,16005,7534,2762,12630,21440,2010-01-26,8471,-9868
2010-02-02T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,15251,9868,3659,9838,21312,2010-02-02,5383,-6179
2010-02-09T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,14359,9636,3988,8734,20171,2010-02-09,4723,-4746
2010-02-16T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,14523,7088,3380,10366,19679,2010-02-16,7435,-6986
2010-02-23T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,14641,8249,3676,10223,20201,2010-02-23,6392,-6547
2010-03-02T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,13715,8603,4085,9678,20158,2010-03-02,5112,-5593
2010-03-09T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,11964,8717,7237,11490,21863,2010-03-09,3247,-4253
2010-03-16T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,11334,8525,1827,5970,15638,2010-03-16,2809,-4143
2010-03-23T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,13621,8132,1294,8155,17599,2010-03-23,5489,-6861
2010-03-30T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,13049,7243,1073,9012,17143,2010-03-30,5806,-7939
2010-04-06T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,12836,7333,606,7564,16221,2010-04-06,5503,-6958
2010-04-13T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,13771,6620,657,9759,17540,2010-04-13,7151,-9102
2010-04-20T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,14497,5745,508,10771,17911,2010-04-20,8752,-10263
2010-04-27T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,17554,4645,1118,15819,21797,2010-04-27,12909,-14701
2010-05-04T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,18961,3985,888,17835,23312,2010-05-04,14976,-16947
2010-05-11T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,20428,3536,902,19501,24215,2010-05-11,16892,-18599
2010-05-18T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,16740,4187,2171,15281,21357,2010-05-18,12553,-13110
2010-05-25T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,11342,3680,5345,12089,17760,2010-05-25,7662,-6744
2010-06-01T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,7622,5418,6403,8285,15586,2010-06-01,2204,-1882
2010-06-08T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,6230,7099,10301,8902,17962,2010-06-08,-869,1399
2010-06-15T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,4329,6458,2855,1261,9089,2010-06-15,-2129,1594
2010-06-22T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,6721,5899,1194,3272,10476,2010-06-22,822,-2078
2010-06-29T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,8459,5973,1957,5511,12880,2010-06-29,2486,-3554
2010-07-06T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,8093,5516,2751,6141,12959,2010-07-06,2577,-3390
2010-07-13T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,12683,7231,1740,8103,16798,2010-07-13,5452,-6363
2010-07-20T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,14523,5550,1511,11887,18631,2010-07-20,8973,-10376
2010-07-27T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,18398,4724,1407,17037,22919,2010-07-27,13674,-15630
2010-08-03T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,20353,5294,816,17742,24399,2010-08-03,15059,-16926
2010-08-10T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,18992,6448,1889,16756,25036,2010-08-10,12544,-14867
2010-08-17T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,17595,5456,3229,16406,23627,2010-08-17,12139,-13177
2010-08-24T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,14931,4248,1997,13798,20271,2010-08-24,10683,-11801
2010-08-31T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,12193,5236,4956,12678,20099,2010-08-31,6957,-7722
2010-09-07T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,14648,5271,9876,20791,27922,2010-09-07,9377,-10915
2010-09-14T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,21414,4575,865,20102,25755,2010-09-14,16839,-19237
2010-09-21T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,22636,4228,563,21198,26820,2010-09-21,18408,-20635
2010-09-28T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,21604,4334,641,20115,25965,2010-09-28,17270,-19474
2010-10-05T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,21339,5005,881,19451,26042,2010-10-05,16334,-18570
2010-10-12T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,21276,4703,1213,20607,26437,2010-10-12,16573,-19394
2010-10-19T00:00:00.000,NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,21477,6146,1856,19755,27031,2010-10-19,15331,-17899
