report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2010-01-05T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,12488,15268,11260,9355,35161,2010-01-05,-2780,1905
2010-01-12T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,17213,3287,6378,24458,38204,2010-01-12,13926,-18080
2010-01-19T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,17281,3310,5700,25353,37744,2010-01-19,13971,-19653
2010-01-26T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,12421,6716,10407,14719,34075,2010-01-26,5705,-4312
2010-02-02T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,10344,12119,15425,10390,36263,2010-02-02,-1775,5035
2010-02-09T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,9219,16115,21986,9772,42359,2010-02-09,-6896,12214
2010-02-16T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,10763,15430,19380,12154,40881,2010-02-16,-4667,7226
2010-02-23T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,12119,20938,23673,10095,45407,2010-02-23,-8819,13578
2010-03-02T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,11508,17818,20150,10198,42147,2010-03-02,-6310,9952
2010-03-09T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,10727,15872,27335,19784,47810,2010-03-09,-5145,7551
2010-03-16T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,8977,14210,10785,6701,32157,2010-03-16,-5233,4084
2010-03-23T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,9239,10327,9433,11335,30910,2010-03-23,-1088,-1902
2010-03-30T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,6735,13275,11652,4984,28290,2010-03-30,-6540,6668
2010-04-06T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,9777,13929,10322,6845,32272,2010-04-06,-4152,3477
2010-04-13T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,10417,15371,11836,6524,33886,2010-04-13,-4954,5312
2010-04-20T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,9838,15220,12238,6679,33431,2010-04-20,-5382,5559
2010-04-27T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,13031,26644,24802,6933,49308,2010-04-27,-13613,17869
2010-05-04T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,12665,29257,27351,4700,51339,2010-05-04,-16592,22651
2010-05-11T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,10020,27547,31079,3597,50562,2010-05-11,-17527,27482
2010-05-18T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,10616,25174,28168,4418,48242,2010-05-18,-14558,23750
2010-05-25T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,11489,24108,27078,5446,48163,2010-05-25,-12619,21632
2010-06-01T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,11139,25863,29143,3466,49959,2010-06-01,-14724,25677
2010-06-08T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,14111,25526,36100,15984,59622,2010-06-08,-11415,20116
2010-06-15T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,8852,25328,27792,4332,44092,2010-06-15,-16476,23460
2010-06-22T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,9620,19885,27203,9470,43561,2010-06-22,-10265,17733
2010-06-29T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,7647,20495,26887,8205,42840,2010-06-29,-12848,18682
2010-07-06T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,7627,15082,23099,17989,45002,2010-07-06,-7455,5110
2010-07-13T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,18237,3647,20586,39904,53056,2010-07-13,14590,-19318
2010-07-20T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,19977,4864,20185,41191,54918,2010-07-20,15113,-21006
2010-07-27T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,15283,9067,24595,37985,55722,2010-07-27,6216,-13390
2010-08-03T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,20302,4079,22236,45511,57976,2010-08-03,16223,-23275
2010-08-10T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,16775,5874,22171,36144,52566,2010-08-10,10901,-13973
2010-08-17T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,18041,6291,20828,38120,54560,2010-08-17,11750,-17292
2010-08-24T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,20735,6867,20376,40811,57316,2010-08-24,13868,-20435
2010-08-31T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,21185,6904,20988,43980,60655,2010-08-31,14281,-22992
2010-09-07T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,25464,8837,28989,56436,74713,2010-09-07,16627,-27447
2010-09-14T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,27800,13564,2770,27970,49352,2010-09-14,14236,-25200
2010-09-21T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,26272,11810,4810,30467,49910,2010-09-21,14462,-25657
2010-09-28T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,27655,7662,6197,36425,53452,2010-09-28,19993,-30228
2010-10-05T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,31693,9094,5279,38448,56636,2010-10-05,22599,-33169
2010-10-12T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,31504,11557,6229,36081,57722,2010-10-12,19947,-29852
2010-10-19T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,24908,13673,9487,30720,54022,2010-10-19,11235,-21233
2010-10-26T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,24600,12081,6871,28422,50068,2010-10-26,12519,-21551
2010-11-02T00:00:00.000,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,23363,10898,6266,26806,48129,2010-11-02,12465,-20540
