report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2018-04-10T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1077,1315,0,0,1702,2018-04-10,-238,0
2018-04-17T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1305,1645,0,0,2029,2018-04-17,-340,0
2018-04-24T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1497,2018,0,0,2380,2018-04-24,-521,0
2018-05-01T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1375,1631,0,0,1991,2018-05-01,-256,0
2018-05-08T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1675,2075,0,0,2485,2018-05-08,-400,0
2018-05-15T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1675,2052,0,0,2505,2018-05-15,-377,0
2018-05-22T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1785,2228,0,0,2684,2018-05-22,-443,0
2018-05-29T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1696,2253,0,0,2714,2018-05-29,-557,0
2018-06-05T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1713,2179,0,0,2556,2018-06-05,-466,0
2018-06-12T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1805,2182,0,0,2643,2018-06-12,-377,0
2018-06-19T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1718,2063,0,0,2633,2018-06-19,-345,0
2018-06-26T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1708,2131,0,0,2687,2018-06-26,-423,0
2018-07-03T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1680,2089,0,0,2514,2018-07-03,-409,0
2018-07-10T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1808,2139,0,0,2622,2018-07-10,-331,0
2018-07-17T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1987,2334,0,77,2854,2018-07-17,-347,-77
2018-07-24T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2295,2792,0,77,3431,2018-07-24,-497,-77
2018-07-31T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1981,2433,0,85,3063,2018-07-31,-452,-85
2018-08-07T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1616,1982,0,85,2732,2018-08-07,-366,-85
2018-08-14T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2203,2425,0,77,2983,2018-08-14,-222,-77
2018-08-21T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2189,2454,0,90,2981,2018-08-21,-265,-90
2018-08-28T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1915,2354,0,90,2840,2018-08-28,-439,-90
2018-09-04T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1862,2184,0,145,2707,2018-09-04,-322,-145
2018-09-11T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1746,2105,0,143,2711,2018-09-11,-359,-143
2018-09-18T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1656,2037,0,139,2742,2018-09-18,-381,-139
2018-09-25T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1625,1952,0,139,2746,2018-09-25,-327,-139
2018-10-02T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1590,1918,0,155,2354,2018-10-02,-328,-155
2018-10-09T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2038,2289,0,170,2848,2018-10-09,-251,-170
2018-10-16T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1962,2190,0,170,2730,2018-10-16,-228,-170
2018-10-23T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1870,1997,0,171,3001,2018-10-23,-127,-171
2018-10-30T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,1973,2033,0,167,2608,2018-10-30,-60,-167
2018-11-06T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2248,2458,0,167,2913,2018-11-06,-210,-167
2018-11-13T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2892,3055,0,167,3530,2018-11-13,-163,-167
2018-11-20T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2467,2576,0,174,3729,2018-11-20,-109,-174
2018-11-27T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2677,2750,0,251,3791,2018-11-27,-73,-251
2018-12-04T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2638,2752,0,153,3301,2018-12-04,-114,-153
2018-12-11T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3091,3331,4,173,3970,2018-12-11,-240,-169
2018-12-18T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3407,3759,0,169,4359,2018-12-18,-352,-169
2018-12-24T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2951,3236,0,154,3857,2018-12-24,-285,-154
2018-12-31T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2686,2980,0,223,3708,2018-12-31,-294,-223
2019-01-08T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2976,3217,0,173,3764,2019-01-08,-241,-173
2019-01-15T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3554,3696,0,173,4473,2019-01-15,-142,-173
2019-01-22T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,3350,3645,129,173,4976,2019-01-22,-295,-44
2019-01-29T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2888,3203,129,173,4047,2019-01-29,-315,-44
2019-02-05T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2678,2998,131,173,3881,2019-02-05,-320,-42
2019-02-12T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021,2624,320,230,3361,2019-02-12,-603,90
2019-02-19T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2486,3062,222,220,3964,2019-02-19,-576,2
2019-02-26T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2368,2686,0,230,3324,2019-02-26,-318,-230
2019-03-05T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2203,2489,0,234,3226,2019-03-05,-286,-234
2019-03-12T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2307,2663,0,256,3480,2019-03-12,-356,-256
2019-03-19T00:00:00.000,BITCOIN - CHICAGO MERCANTILE EXCHANGE,2383,2833,0,281,3681,2019-03-19,-450,-281
