report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2010-01-05T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,263008,35241,98195,376746,507643,2010-01-05,227767,-278551
2010-01-12T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,271260,41918,100451,382939,523266,2010-01-12,229342,-282488
2010-01-19T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,261276,39807,109197,382844,528924,2010-01-19,221469,-273647
2010-01-26T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,246223,34299,111492,360110,507565,2010-01-26,211924,-248618
2010-02-02T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,246048,35879,103361,347940,480860,2010-02-02,210169,-244579
2010-02-09T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,222775,41256,110759,324186,466905,2010-02-09,181519,-213427
2010-02-16T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,224715,35857,105334,325212,466509,2010-02-16,188858,-219878
2010-02-23T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,233106,32484,97536,335580,466572,2010-02-23,200622,-238044
2010-03-02T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,239765,32393,101700,353237,482786,2010-03-02,207372,-251537
2010-03-09T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,240868,32674,112952,364739,493909,2010-03-09,208194,-251787
2010-03-16T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,239065,38719,109825,352120,496481,2010-03-16,200346,-242295
2010-03-23T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,221472,37600,124504,348327,495143,2010-03-23,183872,-223823
2010-03-30T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,209874,36108,135472,343163,466678,2010-03-30,173766,-207691
2010-04-06T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,242302,38856,126670,371576,497388,2010-04-06,203446,-244906
2010-04-13T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,262599,41857,135469,398953,528856,2010-04-13,220742,-263484
2010-04-20T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,251244,40593,139961,397357,521338,2010-04-20,210651,-257396
2010-04-27T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,263472,37804,145584,411106,538591,2010-04-27,225668,-265522
2010-05-04T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,271511,40964,151675,423261,551616,2010-05-04,230547,-271586
2010-05-11T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,282375,46550,168306,450950,583504,2010-05-11,235825,-282644
2010-05-18T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,281985,50315,170172,449916,579758,2010-05-18,231670,-279744
2010-05-25T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,271184,43493,167088,435467,591360,2010-05-25,227691,-268379
2010-06-01T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,266569,42023,172487,440110,553950,2010-06-01,224546,-267623
2010-06-08T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,270729,43331,175948,449525,564792,2010-06-08,227398,-273577
2010-06-15T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,273657,43406,178313,457257,569204,2010-06-15,230251,-278944
2010-06-22T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,283920,45286,186762,475678,602411,2010-06-22,238634,-288916
2010-06-29T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,279992,35267,192020,481976,601138,2010-06-29,244725,-289956
2010-07-06T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,251273,42231,203285,452427,577732,2010-07-06,209042,-249142
2010-07-13T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,243867,38946,198305,446653,568078,2010-07-13,204921,-248348
2010-07-20T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,227963,49656,208787,424451,559473,2010-07-20,178307,-215664
2010-07-27T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,228251,39350,193521,421076,560066,2010-07-27,188901,-227555
2010-08-03T00:00:00.000,GOLD - COMMODITY EXCHANGE INC.,222704,37189,179968,401997,518643,2010-08-03,185515,-222029
