report_date_as_yyyy_mm_dd,market_and_exchange_names,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,open_interest_all,date,spec_net,comm_net
2010-01-05T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,44312,4813,26098,83488,125391,2010-01-05,39499,-57390
2010-01-12T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,48703,4175,26124,87870,128675,2010-01-12,44528,-61746
2010-01-19T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,49357,5056,26749,88439,131385,2010-01-19,44301,-61690
2010-01-26T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,41473,4404,29036,83747,124895,2010-01-26,37069,-54711
2010-02-02T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,36924,6047,32572,79135,122261,2010-02-02,30877,-46563
2010-02-09T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,32438,9073,34830,72630,118593,2010-02-09,23365,-37800
2010-02-16T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,34615,9237,35553,73779,120166,2010-02-16,25378,-38226
2010-02-23T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,35495,7679,36528,76298,117376,2010-02-23,27816,-39770
2010-03-02T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,36721,5663,31034,71974,108248,2010-03-02,31058,-40940
2010-03-09T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,40051,4886,29220,75019,112130,2010-03-09,35165,-45799
2010-03-16T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,40126,5270,29779,77787,114192,2010-03-16,34856,-48008
2010-03-23T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,38105,5804,29886,75584,112520,2010-03-23,32301,-45698
2010-03-30T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,38734,5753,31259,77576,113405,2010-03-30,32981,-46317
2010-04-06T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,44052,6529,29839,81525,118712,2010-04-06,37523,-51686
2010-04-13T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,47495,7890,30927,86316,123661,2010-04-13,39605,-55389
2010-04-20T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,46960,8098,32605,86922,126679,2010-04-20,38862,-54317
2010-04-27T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,48462,7895,29762,86183,124157,2010-04-27,40567,-56421
2010-05-04T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,47287,8627,32069,87457,123448,2010-05-04,38660,-55388
2010-05-11T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,47848,10258,30697,83215,122669,2010-05-11,37590,-52518
2010-05-18T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,51664,8874,30235,89453,125228,2010-05-18,42790,-59218
2010-05-25T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,42146,7314,31781,83230,120120,2010-05-25,34832,-51449
2010-06-01T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,41797,5912,33716,85671,122368,2010-06-01,35885,-51955
2010-06-08T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,40478,5475,33856,85900,122536,2010-06-08,35003,-52044
2010-06-15T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,43464,5948,34328,88109,131070,2010-06-15,37516,-53781
2010-06-22T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,46666,6615,35668,91244,139019,2010-06-22,40051,-55576
2010-06-29T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,47455,5545,30402,88911,128065,2010-06-29,41910,-58509
2010-07-06T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,39876,4832,29776,82143,118962,2010-07-06,35044,-52367
2010-07-13T00:00:00.000,SILVER - COMMODITY EXCHANGE INC.,39176,3994,30751,81965,117959,2010-07-13,35182,-51214
