date,close,shares_volume,dollar_volume
2024-01-11,15.58666706085205,17925000,279391007.065773
2024-01-12,14.619999885559082,10364400,151527526.81388855
2024-01-16,14.50333309173584,8599500,124721412.92238235
2024-01-17,14.286666870117188,3750900,53587858.76312256
2024-01-18,13.649999618530273,8620800,117673916.71142578
2024-01-19,13.90999984741211,6289800,87491117.04025269
2024-01-22,13.401666641235352,9714900,130195851.25293732
2024-01-23,13.073332786560059,8473500,110776885.36691666
2024-01-24,13.199999809265137,7111200,93867838.64364624
2024-01-25,13.289999961853027,3729000,49558409.85774994
2024-01-26,14.006667137145996,7229700,101264001.40142441
2024-01-29,14.403332710266113,7533000,108500305.30643463
2024-01-30,14.536666870117188,6047700,87913400.23040771
2024-01-31,14.183333396911621,4866300,69020355.30939102
2024-02-01,14.353333473205566,5284200,75845884.73911285
2024-02-02,14.316666603088379,6437700,92166404.59070206
2024-02-05,14.126667022705078,3540600,50016877.2605896
2024-02-06,14.373332977294922,4214100,60570662.49961853
2024-02-07,14.723333358764648,5939700,87452183.15105438
2024-02-08,15.199999809265137,6432000,97766398.77319336
2024-02-09,15.866666793823242,7257900,115158680.92288971
2024-02-12,16.770000457763672,6404100,107396759.93156433
2024-02-13,16.489999771118164,9443700,155726610.8385086
2024-02-14,17.273332595825195,11683500,201812981.38332367
2024-02-15,17.280000686645508,10072500,174052806.91623688
2024-02-16,17.323333740234375,5675700,98322045.30944824
2024-02-20,17.360000610351562,8202900,142402349.00665283
2024-02-21,17.00666618347168,11431800,194416806.47621155
2024-02-22,17.3700008392334,3781500,65684658.173561096
2024-02-23,17.046667098999023,4056300,69146395.75366974
2024-02-26,18.176666259765625,15595500,283474198.6541748
2024-02-27,19.046667098999023,10775700,205241170.65868378
2024-02-28,20.166667938232422,21924600,442146127.87857056
2024-02-29,20.760000228881836,9501300,197246990.174675
2024-03-01,21.059999465942383,5721900,120503210.94417572
2024-03-04,22.59666633605957,12509700,282677516.8642044
2024-03-05,20.68000030517578,25505400,527451679.7836304
2024-03-06,22.366666793823242,8527200,190725041.08428955
2024-03-07,22.593332290649414,10567500,238755038.98143768
2024-03-08,23.1299991607666,11887200,274950926.02386475
2024-03-11,24.066667556762695,14723700,354350393.1055069
2024-03-12,23.799999237060547,22278300,530223523.003006
2024-03-13,24.536666870117188,11204100,274911269.27948
2024-03-14,23.139999389648438,17618700,407696707.2463989
2024-03-15,23.049999237060547,9571200,220616152.6977539
2024-03-18,22.286666870117188,9556200,212975845.94421387
2024-03-19,21.469999313354492,14887500,319634614.777565
2024-03-20,21.97333335876465,16595400,364656256.42204285
2024-03-21,21.739999771118164,10282200,223535025.6465912
2024-03-22,21.333332061767578,8810700,187961588.7966156
2024-03-25,23.709999084472656,12596100,298653519.467926
2024-03-26,23.176666259765625,7525800,174422954.93774414
2024-03-27,22.899999618530273,8552700,195856826.73740387
2024-03-28,23.65999984741211,9526800,225404086.54632568
2024-04-01,23.260000228881836,5875800,136671109.3448639
2024-04-02,21.989999771118164,5929500,130389703.64284515
2024-04-03,21.956666946411133,3618900,79458982.01236725
2024-04-04,22.84666633605957,5534100,126435736.17038727
2024-04-05,22.476667404174805,5460000,122722604.02679443
2024-04-08,23.93000030517578,6236400,149237053.90319824
2024-04-09,22.99333381652832,7454700,171408405.60207367
2024-04-10,23.383333206176758,6188400,144705419.21310425
2024-04-11,23.503332138061523,5789400,136070191.08009338
2024-04-12,22.296667098999023,10749300,239673563.6472702
2024-04-15,21.10333251953125,8256000,174229113.28125
2024-04-16,20.906667709350586,4731000,98909444.93293762
2024-04-17,20.350000381469727,8520600,173394213.25035095
2024-04-18,21.18666648864746,7046100,149283370.74565887
2024-04-19,21.47333335876465,5412900,116233006.13765717
2024-04-22,22.200000762939453,4821000,107026203.6781311
2024-04-23,22.183332443237305,2796300,62031252.511024475
2024-04-24,21.303333282470703,8093700,172422788.58833313
2024-04-25,21.586666107177734,3738600,80703909.90829468
2024-04-26,21.239999771118164,2640000,56073599.39575195
2024-04-29,20.989999771118164,3861900,81061280.11608124
2024-04-30,19.69333267211914,7215000,142087395.2293396
2024-05-01,18.956666946411133,7567800,143460264.11705017
2024-05-02,19.793333053588867,5177100,102472064.55173492
2024-05-03,20.713333129882812,4213500,87275629.14276123
2024-05-06,21.079999923706055,3187500,67192499.75681305
2024-05-07,21.016666412353516,3126900,65717014.20478821
2024-05-08,20.713333129882812,1900200,39359475.61340332
2024-05-09,20.833332061767578,3366000,70124995.71990967
2024-05-10,20.213333129882812,5576100,112711566.86553955
2024-05-13,21.06333351135254,3586200,75537326.63841248
2024-05-14,20.523332595825195,2188800,44921470.38574219
2024-05-15,22.020000457763672,6952800,153100659.18273926
2024-05-16,21.739999771118164,3244200,70528907.25746155
2024-05-17,22.3799991607666,3312900,74142699.21970367
2024-05-20,23.399999618530273,5621700,131547777.85549164
2024-05-21,23.10333251953125,4255800,98323162.5366211
2024-05-22,23.21666717529297,2849700,66160536.44943237
2024-05-23,22.376667022705078,4687200,104883913.66882324
2024-05-24,23.079999923706055,3838800,88599503.7071228
2024-05-28,22.796667098999023,3891900,88722348.6825943
2024-05-29,22.406667709350586,2794800,62622154.91409302
2024-05-30,22.916667938232422,3943500,90371880.01441956
2024-05-31,22.516666412353516,5303400,119414888.65127563
