date,close,shares_volume,dollar_volume
2024-01-11,25.540000915527344,4781900,122129730.3779602
2024-01-12,23.959999084472656,3270000,78349197.00622559
2024-01-16,23.719999313354492,2224500,52765138.47255707
2024-01-17,23.399999618530273,1956000,45770399.253845215
2024-01-18,22.34000015258789,2856900,63823146.435928345
2024-01-19,22.729999542236328,4606200,104698923.89144897
2024-01-22,21.969999313354492,2280000,50091598.43444824
2024-01-23,21.389999389648438,2329200,49821586.57836914
2024-01-24,21.600000381469727,1671000,36093600.63743591
2024-01-25,21.729999542236328,1260100,27381972.423171997
2024-01-26,22.90999984741211,2831900,64878828.56788635
2024-01-29,23.56999969482422,2239700,52789728.3164978
2024-01-30,23.780000686645508,1684500,40057411.15665436
2024-01-31,23.219999313354492,1264400,29359367.13180542
2024-02-01,23.450000762939453,1315200,30841441.00341797
2024-02-02,23.40999984741211,1732200,40550801.735687256
2024-02-05,23.1200008392334,1001200,23147744.84024048
2024-02-06,23.520000457763672,880900,20718768.40324402
2024-02-07,24.100000381469727,1912700,46096070.729637146
2024-02-08,24.850000381469727,1988300,49409255.75847626
2024-02-09,25.950000762939453,2059000,53431051.570892334
2024-02-12,27.399999618530273,3209900,87951258.77552032
2024-02-13,26.989999771118164,3684900,99455450.15659332
2024-02-14,28.260000228881836,3330800,94128408.76235962
2024-02-15,28.229999542236328,4990700,140887458.71543884
2024-02-16,28.34000015258789,1714700,48594598.261642456
2024-02-20,28.3700008392334,6324300,179420396.30756378
2024-02-21,27.81999969482422,1189000,33077979.637145996
2024-02-22,28.420000076293945,1096300,31156846.083641052
2024-02-23,27.899999618530273,1534700,42818129.41455841
2024-02-26,29.770000457763672,2829800,84243147.29537964
2024-02-27,31.149999618530273,2914500,90786673.88820648
2024-02-28,32.970001220703125,7881400,259849767.6208496
2024-02-29,33.83000183105469,4537600,153507016.30859375
2024-03-01,34.43000030517578,3244600,111711578.99017334
2024-03-04,36.95000076293945,5043500,186357328.84788513
2024-03-05,33.810001373291016,9046600,305865558.4236145
2024-03-06,36.599998474121094,3430000,125537994.76623535
2024-03-07,36.959999084472656,4037600,149229692.3034668
2024-03-08,37.849998474121094,8237900,311804502.42996216
2024-03-11,39.36000061035156,5633800,221746371.43859863
2024-03-12,38.9900016784668,5712200,222718687.58773804
2024-03-13,40.15999984741211,2932800,117781247.55249023
2024-03-14,37.83000183105469,4377600,165604616.015625
2024-03-15,37.709999084472656,4133500,155874281.21566772
2024-03-18,36.5,2714500,99079250.0
2024-03-19,35.13999938964844,4167200,146435405.45654297
2024-03-20,35.939998626708984,3981800,143105886.53182983
2024-03-21,35.54999923706055,2585900,91928743.02711487
2024-03-22,34.84000015258789,2784100,96998044.42481995
2024-03-25,38.79999923706055,3225100,125133877.53944397
2024-03-26,37.90999984741211,2234800,84721267.65899658
2024-03-27,37.459999084472656,1917300,71822056.24465942
2024-03-28,38.709999084472656,3192800,123593285.0769043
2024-04-01,38.06999969482422,1897700,72245438.42086792
2024-04-02,35.970001220703125,1991000,71616272.43041992
2024-04-03,35.91999816894531,2289300,82231651.8081665
2024-04-04,37.380001068115234,2678000,100103642.8604126
2024-04-05,36.72999954223633,2755300,101202167.73872375
2024-04-08,39.18000030517578,2465700,96606126.75247192
2024-04-09,37.63999938964844,2097700,78957426.71966553
2024-04-10,38.25,1853800,70907850.0
2024-04-11,38.43000030517578,1959600,75307428.59802246
2024-04-12,36.470001220703125,3374600,123071666.11938477
2024-04-15,34.5099983215332,2166900,74779715.3629303
2024-04-16,34.220001220703125,2349500,80399892.86804199
2024-04-17,33.2599983215332,2656600,88358511.5409851
2024-04-18,34.68000030517578,2050600,71114808.62579346
2024-04-19,35.11000061035156,2065100,72505662.26043701
2024-04-22,36.33000183105469,1568500,56983607.87200928
