date,close,shares_volume,dollar_volume
2024-01-11,13.289999961853027,675700,8980052.97422409
2024-01-12,12.470000267028809,172100,2146087.045955658
2024-01-16,12.286999702453613,239100,2937821.628856659
2024-01-17,12.15999984741211,63400,770943.9903259277
2024-01-18,11.59000015258789,122400,1418616.0186767578
2024-01-19,11.819999694824219,278100,3287141.9151306152
2024-01-22,11.40999984741211,363700,4149816.944503784
2024-01-23,11.119999885559082,70400,782847.9919433594
2024-01-24,11.229999542236328,122000,1370059.944152832
2024-01-25,11.3100004196167,47400,536094.0198898315
2024-01-26,11.920000076293945,145400,1733168.0110931396
2024-01-29,12.25,295400,3618650.0
2024-01-30,12.359999656677246,161300,1993667.9446220398
2024-01-31,12.0600004196167,121300,1462878.0508995056
2024-02-01,12.1899995803833,131600,1604203.9447784424
2024-02-02,12.180000305175781,270900,3299562.082672119
2024-02-05,12.020000457763672,153700,1847474.0703582764
2024-02-06,12.220000267028809,223500,2731170.0596809387
2024-02-07,12.517000198364258,294700,3688759.958457947
2024-02-08,12.907999992370605,154400,1992995.1988220215
2024-02-09,13.484000205993652,354400,4778729.67300415
2024-02-12,14.25,313100,4461675.0
2024-02-13,14.020999908447266,109800,1539505.7899475098
2024-02-14,14.680999755859375,162600,2387130.5603027344
2024-02-15,14.6899995803833,296800,4359991.875457764
2024-02-16,14.720000267028809,95800,1410176.0255813599
2024-02-20,14.760000228881836,345500,5099580.079078674
2024-02-21,14.460000038146973,239800,3467508.009147644
2024-02-22,14.75,210900,3110775.0
2024-02-23,14.479999542236328,354100,5127367.837905884
2024-02-26,15.470000267028809,451000,6976970.120429993
2024-02-27,16.18000030517578,317600,5138768.096923828
2024-02-28,17.139999389648438,866500,14851809.471130371
2024-02-29,17.579999923706055,185000,3252299.98588562
2024-03-01,17.8799991607666,194200,3472295.837020874
2024-03-04,19.229999542236328,277000,5326709.873199463
2024-03-05,17.579999923706055,895900,15749921.931648254
2024-03-06,19.040000915527344,349300,6650672.319793701
2024-03-07,19.219999313354492,410000,7880199.718475342
2024-03-08,19.65999984741211,853900,16787673.8697052
2024-03-11,20.469999313354492,530100,10851146.636009216
2024-03-12,20.270000457763672,1044800,21178096.478271484
2024-03-13,20.860000610351562,1186700,24754562.7243042
2024-03-14,19.670000076293945,2462900,48445243.18790436
2024-03-15,19.59000015258789,605900,11869581.092453003
2024-03-18,18.979999542236328,1111000,21086779.49142456
2024-03-19,18.260000228881836,876700,16008542.200660706
2024-03-20,18.690000534057617,1115600,20850564.595794678
2024-03-21,18.510000228881836,1597800,29575278.365707397
2024-03-22,18.139999389648438,2831700,51367036.27166748
