date,close,shares_volume,dollar_volume
2024-01-11,49.32500076293945,131400,6481305.100250244
2024-01-12,46.61000061035156,87300,4069053.0532836914
2024-01-16,46.04499816894531,22900,1054430.4580688477
2024-01-17,45.36000061035156,43600,1977696.0266113281
2024-01-18,43.5,30200,1313700.0
2024-01-19,44.36000061035156,18100,802916.0110473633
2024-01-22,42.79999923706055,97200,4160159.925842285
2024-01-23,41.650001525878906,25200,1049580.0384521484
2024-01-24,42.15999984741211,50400,2124863.9923095703
2024-01-25,42.26499938964844,67000,2831754.9591064453
2024-01-26,44.68000030517578,185500,8288140.056610107
2024-01-29,45.91999816894531,462500,21237999.153137207
2024-01-30,46.36000061035156,398900,18493004.24346924
2024-01-31,45.189998626708984,515000,23272849.292755127
2024-02-01,45.7400016784668,724100,33120335.215377808
2024-02-02,45.66999816894531,400200,18277133.267211914
2024-02-05,45.06999969482422,592400,26699467.819213867
2024-02-06,45.79999923706055,118800,5441039.909362793
2024-02-07,46.970001220703125,180800,8492176.220703125
2024-02-08,48.45000076293945,96400,4670580.073547363
2024-02-09,50.52000045776367,90900,4592268.041610718
2024-02-12,53.470001220703125,267400,14297878.326416016
2024-02-13,52.55500030517578,138900,7299889.542388916
2024-02-14,55.060001373291016,47100,2593326.064682007
2024-02-15,55.060001373291016,96100,5291266.131973267
2024-02-16,55.150001525878906,37000,2040550.0564575195
2024-02-20,55.2599983215332,4037200,223095665.22369385
2024-02-21,54.150001525878906,134900,7304835.205841064
2024-02-22,55.2599983215332,187000,10333619.686126709
2024-02-23,54.29999923706055,132200,7178459.899139404
2024-02-26,57.9900016784668,645300,37420948.083114624
2024-02-27,60.65999984741211,307700,18665081.953048706
2024-02-28,64.19999694824219,932700,59879337.15362549
2024-02-29,65.97000122070312,237300,15654681.289672852
2024-03-01,67.02999877929688,163900,10986216.799926758
2024-03-04,72.04000091552734,236700,17051868.216705322
2024-03-05,65.91000366210938,1296500,85452319.7479248
2024-03-06,71.30000305175781,364000,25953201.110839844
2024-03-07,72.0,450900,32464800.0
2024-03-08,73.7699966430664,725000,53483247.566223145
2024-03-11,76.66999816894531,388400,29778627.28881836
2024-03-12,75.94000244140625,728800,55345073.779296875
2024-03-13,78.16000366210938,454500,35523721.66442871
2024-03-14,73.52999877929688,988900,72713815.79284668
2024-03-15,73.41000366210938,264300,19402263.967895508
2024-03-18,71.04000091552734,378200,26867328.34625244
2024-03-19,68.3499984741211,564100,38556234.13925171
2024-03-20,70.0199966430664,726900,50897535.55984497
2024-03-21,69.27999877929688,498200,34515295.3918457
2024-03-22,67.91000366210938,424300,28814214.553833008
2024-03-25,75.58000183105469,1020500,77129391.86859131
2024-03-26,73.80000305175781,695900,51357422.12371826
2024-03-27,72.97000122070312,582200,42483134.71069336
2024-03-28,75.41000366210938,252000,19003320.922851562
2024-04-01,74.16000366210938,409200,30346273.498535156
2024-04-02,70.12999725341797,236000,16550679.35180664
2024-04-03,69.98999786376953,448800,31411511.041259766
2024-04-04,72.80000305175781,207700,15120560.633850098
2024-04-05,71.62000274658203,342800,24551336.94152832
2024-04-08,76.29000091552734,214300,16348947.19619751
2024-04-09,73.31999969482422,233100,17090891.928863525
2024-04-10,74.54000091552734,133300,9936182.122039795
2024-04-11,74.75,102800,7684300.0
2024-04-12,71.02999877929688,252200,17913765.692138672
2024-04-15,67.19999694824219,222500,14951999.320983887
2024-04-16,66.68000030517578,167500,11168900.051116943
2024-04-17,64.86000061035156,320700,20800602.195739746
2024-04-18,67.55999755859375,300400,20295023.266601562
2024-04-19,68.37000274658203,353400,24161958.97064209
2024-04-22,70.7699966430664,171900,12165362.422943115
2024-04-23,70.6500015258789,96900,6845985.147857666
2024-04-24,67.91000366210938,465100,31584942.70324707
2024-04-25,68.72000122070312,154900,10644728.189086914
2024-04-26,67.69999694824219,176900,11976129.460144043
2024-04-29,66.87999725341797,146900,9824671.5965271
2024-04-30,62.650001525878906,355600,22278340.54260254
2024-05-01,60.439998626708984,443700,26817227.390670776
2024-05-02,63.09000015258789,120500,7602345.018386841
2024-05-03,65.94999694824219,275500,18169224.159240723
2024-05-06,67.11000061035156,76700,5147337.046813965
2024-05-07,66.91999816894531,65000,4349799.880981445
2024-05-08,65.9800033569336,41600,2744768.1396484375
2024-05-09,66.36000061035156,68800,4565568.0419921875
2024-05-10,64.41999816894531,163900,10558437.699890137
2024-05-13,67.13999938964844,78200,5250347.952270508
2024-05-14,65.36000061035156,49200,3215712.030029297
2024-05-15,70.26000213623047,108300,7609158.23135376
2024-05-16,69.2300033569336,102900,7123767.345428467
2024-05-17,71.37999725341797,16600,1184907.9544067383
2024-05-20,74.47000122070312,87300,6501231.106567383
2024-05-21,73.68000030517578,70800,5216544.021606445
2024-05-22,73.94999694824219,74400,5501879.772949219
2024-05-23,71.37999725341797,57400,4097211.8423461914
2024-05-24,73.58000183105469,52800,3885024.0966796875
2024-05-28,72.66000366210938,117300,8523018.42956543
2024-05-29,71.33999633789062,33200,2368487.8784179688
2024-05-30,73.0,68500,5000500.0
2024-05-31,71.72000122070312,46200,3313464.0563964844
2024-06-03,73.62000274658203,61400,4520268.168640137
2024-06-04,74.88999938964844,93300,6987236.943054199
2024-06-05,75.69999694824219,124700,9439789.6194458
2024-06-06,74.8499984741211,26100,1953584.9601745605
2024-06-07,73.5999984741211,59900,4408639.9085998535
2024-06-10,73.80999755859375,18900,1395008.9538574219
2024-06-11,71.55999755859375,27600,1975055.9326171875
2024-06-12,71.75,66300,4757025.0
2024-06-13,70.66999816894531,62000,4381539.886474609
2024-06-14,69.45999908447266,46100,3202105.9577941895
