date,close,shares_volume,dollar_volume
2024-01-11,40.880001068115234,16805200,686996593.9498901
2024-01-12,38.349998474121094,11393000,436921532.6156616
2024-01-16,38.099998474121094,8479200,323057507.0617676
2024-01-17,37.400001525878906,7913000,295946212.0742798
2024-01-18,35.7599983215332,10271800,367319550.75912476
2024-01-19,36.4900016784668,13819400,504269929.19540405
2024-01-22,35.18000030517578,11640300,409505757.55233765
2024-01-23,34.34000015258789,10426500,358046011.59095764
2024-01-24,34.599998474121094,7558400,261520628.46679688
2024-01-25,34.810001373291016,6420800,223508056.81762695
2024-01-26,36.75,9170600,337019550.0
2024-01-29,37.81999969482422,8468300,320271103.41567993
2024-01-30,38.130001068115234,7622200,290634494.14138794
2024-01-31,37.2400016784668,6036500,224799270.13206482
2024-02-01,37.65999984741211,4569500,172087369.30274963
2024-02-02,37.58000183105469,4967400,186674901.09558105
2024-02-05,37.06999969482422,3112800,115391495.05004883
2024-02-06,37.72999954223633,3485900,131523005.40428162
2024-02-07,38.65999984741211,5326400,205918623.18725586
2024-02-08,39.880001068115234,6192800,246968870.61462402
2024-02-09,41.63999938964844,9931400,413543489.9383545
2024-02-12,44.02000045776367,10984400,483533293.0282593
2024-02-13,43.290000915527344,7508000,325021326.8737793
2024-02-14,45.31999969482422,10127000,458955636.90948486
2024-02-15,45.31999969482422,8284400,375449005.47180176
2024-02-16,45.43000030517578,5304600,240987979.61883545
2024-02-20,45.52000045776367,7629400,347290291.49246216
2024-02-21,44.619998931884766,7042400,314231880.4779053
2024-02-22,45.560001373291016,5628000,256411687.72888184
2024-02-23,44.75,5043800,225710050.0
2024-02-26,47.720001220703125,12383100,590921547.1160889
2024-02-27,49.93000030517578,11636500,581010448.551178
2024-02-28,52.84000015258789,27106800,1432323316.1361694
2024-02-29,54.33000183105469,18719000,1017003304.2755127
2024-03-01,55.189998626708984,14617100,806717728.9264679
2024-03-04,59.27000045776367,18891300,1119687359.6477509
2024-03-05,54.18000030517578,37918500,2054424341.5718079
2024-03-06,58.630001068115234,19354800,1134771944.6731567
2024-03-07,59.25,19018400,1126840200.0
2024-03-08,60.72999954223633,27919100,1695526930.2196503
2024-03-11,63.09000015258789,22552500,1422837228.4412384
2024-03-12,62.5,26079300,1629956250.0
2024-03-13,64.4000015258789,16266200,1047543304.8202515
2024-03-14,60.630001068115234,20022200,1213946007.3860168
2024-03-15,60.47999954223633,19669000,1189581110.9962463
2024-03-18,58.529998779296875,10788900,631474303.829956
2024-03-19,56.349998474121094,17171600,967619633.7982178
2024-03-20,57.59000015258789,18122400,1043669018.7652588
2024-03-21,57.04999923706055,12246800,698679930.6564331
2024-03-22,55.90999984741211,9250700,517206635.5884552
2024-03-25,62.20000076293945,20329900,1264519795.5104828
2024-03-26,60.79999923706055,9752400,592945912.5595093
2024-03-27,60.040000915527344,9846300,591171861.0145569
2024-03-28,62.060001373291016,10605800,658195962.5648499
2024-04-01,61.029998779296875,9116300,556367777.8717041
2024-04-02,57.65999984741211,11730500,676380628.2100677
2024-04-03,57.59000015258789,8566200,493327459.3070984
2024-04-04,59.93000030517578,9555500,572661117.9161072
2024-04-05,58.939998626708984,7150300,421438672.18055725
2024-04-08,62.83000183105469,7785200,489144130.25512695
2024-04-09,60.310001373291016,8102600,488667817.1272278
2024-04-10,61.33000183105469,9814500,601923302.9708862
2024-04-11,61.689998626708984,7879000,486055499.1798401
2024-04-12,58.5099983215332,13398700,783957914.5107269
2024-04-15,55.36000061035156,10387300,575040934.3399048
2024-04-16,54.88999938964844,7728000,424189915.2832031
2024-04-17,53.29999923706055,9862700,525681902.47535706
2024-04-18,55.59000015258789,8162300,453742258.24546814
2024-04-19,56.31999969482422,5964300,335909374.1798401
2024-04-22,58.22999954223633,6580400,383176688.98773193
2024-04-23,58.189998626708984,4001300,232835641.50505066
2024-04-24,55.900001525878906,8738500,488482163.3338928
2024-04-25,56.61000061035156,5595300,316749936.4151001
2024-04-26,55.75,5531400,308375550.0
2024-04-29,55.08000183105469,4100300,225844531.50787354
2024-04-30,51.68000030517578,9484200,490143458.89434814
2024-05-01,49.720001220703125,10785800,536269989.16625977
2024-05-02,51.93000030517578,6578200,341605928.0075073
2024-05-03,54.380001068115234,6741600,366608215.20080566
2024-05-06,55.290000915527344,5373100,297078703.91922
2024-05-07,55.15999984741211,3769500,207925619.42481995
2024-05-08,54.36000061035156,3043900,165466405.85784912
2024-05-09,54.65999984741211,4555800,249020027.3048401
2024-05-10,53.04999923706055,7052500,374135119.6193695
2024-05-13,55.2599983215332,4618300,255207250.2483368
2024-05-14,53.86000061035156,3528300,190034240.15350342
2024-05-15,57.849998474121094,11333900,655666097.7058411
2024-05-16,57.02000045776367,4932600,281256854.2579651
2024-05-17,58.790000915527344,5365900,315461265.9126282
2024-05-20,61.41999816894531,8622500,529593934.21173096
2024-05-21,60.599998474121094,7238800,438671268.9544678
2024-05-22,61.09000015258789,6111100,373327099.93247986
2024-05-23,58.720001220703125,5591900,328356374.8260498
2024-05-24,60.56999969482422,6803800,412106163.923645
2024-05-28,59.83000183105469,4708700,281721529.6218872
2024-05-29,58.790000915527344,3746800,220274375.43029785
2024-05-30,60.150001525878906,6969200,419197390.6341553
2024-05-31,59.11000061035156,4651900,274973811.83929443
2024-06-03,60.54999923706055,4311400,261055266.71066284
2024-06-04,61.66999816894531,7650400,471800153.9916992
2024-06-05,62.380001068115234,5593200,348903821.9741821
2024-06-06,61.650001525878906,3955400,243850416.03546143
2024-06-07,60.4900016784668,6075900,367531201.1981964
2024-06-10,60.790000915527344,2887600,175537206.64367676
2024-06-11,58.95000076293945,4744400,279682383.61968994
2024-06-12,59.0,5504700,324777300.0
2024-06-13,58.130001068115234,5583700,324580486.96403503
2024-06-14,57.25,6901500,395110875.0
2024-06-17,58.310001373291016,3539700,206399911.8610382
2024-06-18,56.279998779296875,4849100,272907342.0806885
2024-06-20,56.88999938964844,3626900,206334338.78631592
2024-06-21,56.13999938964844,4533500,254510687.2329712
2024-06-24,51.810001373291016,8900400,461129736.22283936
2024-06-25,54.16999816894531,6855400,371357005.4473877
2024-06-26,53.31999969482422,3507700,187030562.9295349
2024-06-27,53.709999084472656,3400100,182619367.88711548
2024-06-28,52.459999084472656,5284600,277230111.1618042
2024-07-01,55.279998779296875,4329200,239318170.71533203
2024-07-02,54.11000061035156,3339900,180721991.03851318
2024-07-03,52.869998931884766,2880900,152313179.92286682
2024-07-05,49.43000030517578,10715800,529681997.27020264
2024-07-08,49.400001525878906,8256400,407866172.5982666
2024-07-09,50.599998474121094,4677400,236676432.862854
2024-07-10,50.150001525878906,4630000,232194507.06481934
2024-07-11,50.189998626708984,4370700,219365426.99775696
2024-07-12,50.43000030517578,4216100,212617924.2866516
2024-07-15,55.529998779296875,7482600,415508768.8659668
2024-07-16,57.06999969482422,4528300,258430079.6180725
2024-07-17,56.540000915527344,4151200,234708851.8005371
2024-07-18,55.599998474121094,4665400,259396232.88116455
2024-07-19,58.880001068115234,10452800,615460875.1647949
2024-07-22,59.72999954223633,5046800,301445361.6897583
2024-07-23,57.310001373291016,6683100,383008470.1778412
2024-07-24,57.40999984741211,3546500,203604564.45884705
2024-07-25,56.540000915527344,4786300,270617406.3819885
2024-07-26,59.52000045776367,7147800,425437059.2720032
2024-07-29,58.849998474121094,6512800,383278270.06225586
2024-07-30,57.630001068115234,4340200,250125730.63583374
2024-07-31,57.060001373291016,3993700,227880527.48451233
2024-08-01,55.349998474121094,9590300,530823090.3663635
2024-08-02,54.68000030517578,6370900,348360813.9442444
2024-08-05,46.79999923706055,18377400,860062305.9791565
2024-08-06,49.68000030517578,7384900,366881834.2536926
2024-08-07,47.880001068115234,5751800,275396190.1435852
2024-08-08,52.0099983215332,7452100,387583708.4918976
2024-08-09,53.099998474121094,3282500,174300744.9913025
2024-08-12,51.65999984741211,3605100,186239465.4499054
2024-08-13,53.2400016784668,3252700,173173753.45954895
2024-08-14,51.52000045776367,3359500,173081441.53785706
2024-08-15,49.880001068115234,4819800,240411629.1481018
2024-08-16,52.2400016784668,5886300,307500321.8799591
2024-08-19,51.599998474121094,2618800,135130076.00402832
2024-08-20,52.08000183105469,4137000,215454967.57507324
2024-08-21,53.880001068115234,4821500,259782425.1499176
2024-08-22,52.7400016784668,2352800,124086675.94909668
2024-08-23,55.72999954223633,9297100,518127378.74412537
2024-08-26,55.40999984741211,2957900,163897238.54866028
2024-08-27,54.33000183105469,4509900,245022875.25787354
2024-08-28,51.470001220703125,9601900,494209804.72106934
2024-08-29,51.790000915527344,7487700,387787989.8551941
2024-08-30,51.22999954223633,7086200,363026022.75619507
2024-09-03,50.70000076293945,7607900,385720535.80436707
2024-09-04,50.7599983215332,6758800,343076676.6555786
2024-09-05,48.9900016784668,6316000,309420850.6011963
2024-09-06,46.7400016784668,11678600,545857783.6021423
2024-09-09,49.970001220703125,7473100,373430816.1224365
2024-09-10,50.70000076293945,2142800,108639961.63482666
2024-09-11,50.369998931884766,5104500,257113659.5478058
2024-09-12,51.099998474121094,2368900,121050786.38534546
2024-09-13,52.310001373291016,4356000,227862365.98205566
2024-09-16,50.66999816894531,2721000,137873065.0177002
2024-09-17,52.41999816894531,6627300,347403053.86505127
2024-09-18,52.47999954223633,4690500,246157437.8528595
2024-09-19,55.33000183105469,4098600,226775545.50476074
2024-09-20,54.94499969482422,2750300,151115232.66067505
2024-09-23,55.380001068115234,2207500,122251352.35786438
2024-09-24,56.2599983215332,3010500,169370724.9469757
2024-09-25,55.25,2115800,116897950.0
2024-09-26,56.61000061035156,6350700,359513130.87615967
2024-09-27,57.43000030517578,4917900,282434998.500824
2024-09-30,55.529998779296875,3724000,206793715.45410156
2024-10-01,53.97999954223633,8087700,436574042.29774475
2024-10-02,52.619998931884766,4410400,232075243.28918457
2024-10-03,53.349998474121094,3221000,171840345.08514404
2024-10-04,54.560001373291016,2706900,147688467.71736145
2024-10-07,55.41999816894531,3381500,187402723.80828857
2024-10-08,54.400001525878906,2871100,156187844.38095093
2024-10-09,53.279998779296875,2466500,131415116.98913574
2024-10-10,52.150001525878906,3312900,172767740.05508423
2024-10-11,55.22999954223633,6377400,352223799.08065796
2024-10-14,57.68000030517578,5664800,326745665.72875977
2024-10-15,58.619998931884766,6520700,382243427.035141
2024-10-16,59.2400016784668,3518800,208453717.90618896
2024-10-17,58.40999984741211,2713600,158501375.5859375
2024-10-18,60.029998779296875,3849500,231085480.30090332
2024-10-21,59.23500061035156,4624900,273955954.32281494
2024-10-22,58.97999954223633,2834800,167196502.70233154
2024-10-23,58.06999969482422,3542500,205712973.9189148
2024-10-24,59.720001220703125,2645000,157959403.22875977
2024-10-25,58.38999938964844,5173000,302051466.84265137
