date,close,shares_volume,dollar_volume
2024-01-11,13.229999542236328,1930000,25533899.116516113
2024-01-12,12.404999732971191,1328400,16478801.64527893
2024-01-16,12.300000190734863,701600,8629680.13381958
2024-01-17,12.145000457763672,527200,6402844.241333008
2024-01-18,11.604999542236328,882400,10240251.596069336
2024-01-19,11.802499771118164,801200,9456162.816619873
2024-01-22,11.420000076293945,532800,6084576.040649414
2024-01-23,11.102499961853027,686800,7625196.973800659
2024-01-24,11.210000038146973,191600,2147836.00730896
2024-01-25,11.265000343322754,401600,4524024.137878418
2024-01-26,11.887499809265137,329200,3913364.937210083
2024-01-29,12.232500076293945,1372400,16787883.10470581
2024-01-30,12.34000015258789,220400,2719736.033630371
2024-01-31,12.042499542236328,669600,8063657.693481445
2024-02-01,12.1875,377600,4602000.0
2024-02-02,12.170000076293945,483200,5880544.036865234
2024-02-05,12.015000343322754,507600,6098814.17427063
2024-02-06,12.192500114440918,808400,9856417.092514038
2024-02-07,12.505000114440918,1545200,19322726.176834106
2024-02-08,12.897500038146973,733200,9456447.02796936
2024-02-09,13.467499732971191,793200,10682420.788192749
2024-02-12,14.229999542236328,674800,9602403.691101074
2024-02-13,13.9975004196167,435200,6091712.1826171875
2024-02-14,14.65999984741211,476000,6978159.927368164
2024-02-15,14.642499923706055,569200,8334510.956573486
2024-02-16,14.699999809265137,418400,6150479.920196533
2024-02-20,14.712499618530273,27264000,401121589.5996094
2024-02-21,14.412500381469727,1204400,17358415.45944214
2024-02-22,14.737500190734863,2171600,32003955.41419983
2024-02-23,14.46500015258789,504000,7290360.076904297
2024-02-26,15.432499885559082,1563200,24124083.821105957
2024-02-27,16.15250015258789,1213600,19602674.185180664
2024-02-28,17.09749984741211,3080800,52673977.52990723
2024-02-29,17.55500030517578,1439600,25272178.439331055
2024-03-01,17.862499237060547,1433600,25607678.90625
2024-03-04,19.184999465942383,1436400,27557333.23287964
2024-03-05,17.53499984741211,3517200,61674101.46331787
2024-03-06,18.989999771118164,1627600,30908123.627471924
2024-03-07,19.18000030517578,1894400,36334592.578125
2024-03-08,19.645000457763672,2044800,40170096.936035156
2024-03-11,20.4424991607666,7667200,156736729.5654297
2024-03-12,20.2450008392334,12385200,250738384.3940735
2024-03-13,20.84000015258789,2467600,51424784.37652588
2024-03-14,19.6200008392334,3111600,61049594.61135864
2024-03-15,19.572500228881836,2240800,43858058.51287842
2024-03-18,18.9424991607666,1796000,34020728.49273682
2024-03-19,18.21500015258789,2917600,53144084.44519043
2024-03-20,18.649999618530273,2001600,37329839.236450195
2024-03-21,18.462499618530273,1862400,34384559.28955078
2024-03-22,18.092500686645508,1215600,21993243.83468628
