date,IBIT,total_dv
2024-01-02,,338476782.83280945
2024-01-03,,208552859.08740997
2024-01-04,,242489748.73519894
2024-01-05,,185985878.1206131
2024-01-08,,444215125.22449493
2024-01-09,,372445654.6527863
2024-01-10,,631291652.886406
2024-01-11,1002813867.396736,4539440931.490833
2024-01-12,574107727.2127151,3157251157.3067856
2024-01-16,372733093.6466217,1940402776.400982
2024-01-17,340873442.8691864,2187583221.4601097
2024-01-18,415993490.7196045,2113042433.8675842
2024-01-19,435161566.0503388,2601574379.4861755
2024-01-22,395247208.1394196,2093163479.0037727
2024-01-23,299795539.90097046,1599857464.660675
2024-01-24,269597664.5505905,1282035166.8696213
2024-01-25,203813526.04961395,1022335474.7137222
2024-01-26,486368457.3596954,1684453248.9154434
2024-01-29,469048244.4505692,1586677876.1513863
2024-01-30,386667530.957222,1269584838.4765396
2024-01-31,324873979.8000336,1192874783.3197021
2024-02-01,304575767.3629761,933410980.9675217
2024-02-02,253060500.0,1003021416.9414406
2024-02-05,164673428.63559723,643753436.2624397
2024-02-06,180881342.80490875,691439653.7493782
2024-02-07,351874474.41978455,1087560967.2899475
2024-02-08,483338067.7499771,1289266515.8434296
2024-02-09,563167012.0872498,1741756506.7215347
2024-02-12,1007072270.6382751,2226087342.14695
2024-02-13,590181777.6397705,1595907658.0088882
2024-02-14,831374453.53508,2287070857.227844
2024-02-15,674375554.4574738,2027369902.777958
2024-02-16,473223943.4080124,1471197509.2671432
2024-02-20,628007089.6148682,2587247862.616867
2024-02-21,513680750.6523132,1479255447.826313
2024-02-22,459720837.3786926,1226335801.2569466
2024-02-23,387413925.9727478,1090433114.1698608
2024-02-26,1332135203.9245603,3287358807.2811127
2024-02-27,1368988582.409668,3158565625.7203903
2024-02-28,3335910703.878021,7639519707.666893
2024-02-29,1906924151.4205933,4750055377.781105
2024-03-01,1264458322.970581,3699252689.2135925
2024-03-04,2451917446.800232,5975308628.327412
2024-03-05,3784311919.302368,9930567393.287079
2024-03-06,1758824389.0541077,4466115993.349701
2024-03-07,1601244448.274231,4730827379.454254
2024-03-08,3556889631.385803,7796075270.456108
2024-03-11,3060577968.499756,7183200811.255173
2024-03-12,3992468599.128723,8693581819.614899
2024-03-13,2489606695.278168,5436779389.751518
2024-03-14,3932078493.957138,8000643560.19997
2024-03-15,2708783295.0271606,5759542069.858154
2024-03-18,2029108991.5283203,4165666669.1429443
2024-03-19,2557446893.1655884,5633408718.209763
2024-03-20,2677664160.5953217,5737422078.823624
2024-03-21,1749241256.8473816,4080240248.1159515
2024-03-22,1454848927.9029846,3107301430.668297
