accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription,likely_btc
0000928385-99-001949,1999-06-02,1999-05-27,1999-06-02T04:00:00.000Z,,8-K,000-24435,99638859,"5,7",8-K,12795,0,0,,,FORM 8-K,False
0000950109-00-000093,2000-01-07,1999-12-23,2000-01-07T05:00:00.000Z,,8-K,000-24435,503630,"5,7",8-K,17164,0,0,,,FORM 8-K,False
0000928385-00-000821,2000-03-23,2000-03-20,2000-03-23T05:00:00.000Z,,8-K,000-24435,576087,"5,7",8-K,17926,0,0,,,FORM 8-K,False
0000928385-00-001753,2000-06-19,2000-06-19,2000-06-19T04:00:00.000Z,,8-K,000-24435,657286,"5,7",8-K,285397,0,0,,0001.txt,FORM 8-K,False
0000928385-00-002084,2000-08-03,2000-07-26,2000-08-03T04:00:00.000Z,,8-K,000-24435,685029,5,8-K,39254,0,0,,0001.txt,FORM 8-K,False
0001050446-00-000022,2000-11-06,2000-10-18,2000-11-06T05:00:00.000Z,,8-K,000-24435,753855,1,8-K,469397,0,0,,0001.txt,FORM 8-K,False
0000928385-01-000306,2001-02-07,2001-02-06,2001-02-07T05:00:00.000Z,,8-K,000-24435,1526592,5,8-K,24423,0,0,,0001.txt,FORM 8-K,False
0000928385-01-000477,2001-02-15,2001-02-13,2001-02-15T05:00:00.000Z,,8-K,000-24435,1546653,5,8-K,528148,0,0,,0001.txt,FORM 8-K,False
0000928385-01-000742,2001-03-09,2001-03-07,2001-03-09T05:00:00.000Z,,8-K,000-24435,1564190,5,8-K,8703,0,0,,0001.txt,FORM 8-K,False
0000928385-01-000986,2001-04-04,2001-04-03,2001-04-04T04:00:00.000Z,,8-K,000-24435,1595194,5,8-K,794094,0,0,,0001.txt,FORM 8-K,False
0000928385-01-500612,2001-05-02,2001-04-30,2001-05-02T04:00:00.000Z,,8-K,000-24435,1620375,5,8-K,17926,0,0,,d8k.txt,FORM 8-K,False
0000928385-01-501131,2001-06-18,2001-06-14,2001-06-18T04:00:00.000Z,,8-K,000-24435,1662307,5,8-K,973052,0,0,,d8k.txt,CURRENT REPORT,False
0000928385-01-501151,2001-06-20,2001-06-14,2001-06-20T04:00:00.000Z,,8-K,000-24435,1663742,5,8-K,299102,0,0,,d8k.txt,CURRENT REPORT,False
0000928385-01-501281,2001-07-06,2001-07-02,2001-07-06T04:00:00.000Z,,8-K,000-24435,1675743,5,8-K,13187,0,0,,d8k.txt,CURRENT REPORT,False
0000928385-01-501404,2001-08-07,2001-07-31,2001-08-07T04:00:00.000Z,,8-K,000-24435,1700193,5,8-K,52489,0,0,,d8k.txt,FORM 8-K,False
0000928385-01-501690,2001-09-05,2001-08-29,2001-09-05T04:00:00.000Z,,8-K,000-24435,1731575,"5,7",8-K,44424,0,0,,d8k.txt,FORM 8-K,False
0000928385-01-501932,2001-10-01,2001-09-28,2001-10-01T04:00:00.000Z,,8-K,000-24435,1749234,5,8-K,3834,0,0,,d8k.txt,CURRENT REPORT,False
0000928385-01-502085,2001-10-15,2001-10-11,2001-10-15T04:00:00.000Z,,8-K,000-24435,1758576,9,8-K,6267,0,0,,d8k.txt,CURRENT REPORT,False
0000928385-01-502232,2001-11-01,2001-10-30,2001-11-01T05:00:00.000Z,,8-K,000-24435,1772551,5,8-K,54901,0,0,,d8k.txt,FORM 8-K,False
0000928385-02-000322,2002-02-08,2002-01-31,2002-02-08T05:00:00.000Z,,8-K,000-24435,02532425,5,8-K,58190,0,0,,d8k.txt,FORM 8-K,False
0000916641-02-000648,2002-05-01,2002-04-26,2002-05-01T20:30:24.000Z,,8-K,000-24435,02630272,5,8-K,73792,0,0,,d8k.txt,CURRENT REPORT,False
0000916641-02-000989,2002-06-20,2002-06-19,2002-06-20T20:22:35.000Z,,8-K,000-24435,02683325,5,8-K,4925,0,0,,d8k.txt,CURRENT REPORT,False
0000916641-02-000996,2002-06-25,2002-06-24,2002-06-25T13:02:42.000Z,,8-K,000-24435,02685935,5,8-K,5331,0,0,,d8k.txt,FORM 8-K,False
0000931763-02-002552,2002-07-30,2002-07-30,2002-07-30T01:53:49.000Z,,8-K,000-24435,02713847,5,8-K,6043,0,0,,d8k.txt,CURRENT REPORT,False
0000916641-02-001150,2002-07-31,2002-07-25,2002-07-31T12:42:59.000Z,,8-K,000-24435,02715303,5,8-K,544958,0,0,,d8k.txt,CURRENT REPORT,False
0000916641-02-001207,2002-08-08,2002-08-06,2002-08-07T21:39:49.000Z,,8-K,000-24435,02722165,5,8-K,129946,0,0,,d8k.txt,CURRENT REPORT,False
0000916641-02-001679,2002-10-25,2002-10-24,2002-10-25T19:10:58.000Z,,8-K,000-24435,02798617,5,8-K,429039,0,0,,d8k.htm,FORM 8-K DATED 10/24/2002,False
0000916641-02-002081,2002-12-11,2002-12-10,2002-12-11T13:11:45.000Z,,8-K,000-24435,02854131,9,8-K,6714,0,0,,d8k.txt,CURRENT REPORT,False
0000916641-03-000118,2003-01-31,2003-01-30,2003-01-31T21:44:48.000Z,,8-K,000-24435,03534977,9,8-K,423167,0,0,,d8k.htm,CURRENT REPORT,False
0000928385-03-001219,2003-04-18,2003-04-16,2003-04-18T21:14:24.000Z,,8-K,000-24435,03656021,5,8-K,12469,0,0,,d8k.txt,FORM 8-K,False
0000916641-03-001213,2003-04-30,2003-04-29,2003-04-30T21:18:41.000Z,,8-K,000-24435,03674146,"7,9",8-K,272343,0,0,,d8k.htm,CURRENT REPORT,False
0001021408-03-008041,2003-05-20,2003-05-19,2003-05-19T23:54:56.000Z,,8-K,000-24435,03711302,5,8-K,235993,0,0,,d8k.htm,"FORM 8-K DATED MAY 19,2003",False
0001193125-03-012456,2003-06-24,2003-06-23,2003-06-24T21:17:04.000Z,,8-K,000-24435,03755558,5,8-K,25351,0,0,,d8k.htm,CURRENT REPORT,False
0000950168-03-002322,2003-08-01,2003-07-29,2003-08-01T00:06:47.000Z,,8-K,000-24435,03816115,"5,7",8-K,315942,0,0,,d8k.htm,FORM 8-K,False
0001193125-03-068494,2003-10-28,2003-10-28,2003-10-28T21:29:17.000Z,,8-K,000-24435,03961241,"5,7",8-K,337573,0,0,,d8k.htm,CURRENT REPORT,False
0001193125-03-093608,2003-12-12,2003-12-10,2003-12-12T21:13:47.000Z,,8-K,000-24435,031052100,"5,7",8-K,26764,0,0,,d8k.htm,FORM 8-K,False
0001193125-04-011312,2004-01-29,2004-01-29,2004-01-29T21:32:02.000Z,,8-K,000-24435,04552864,"5,7",8-K,330094,0,0,,d8k.htm,FORM 8-K,False
0001193125-04-070961,2004-04-27,2004-04-27,2004-04-27T20:33:59.000Z,,8-K,000-24435,04757351,"5,7",8-K,178411,0,0,,d8k.htm,FORM 8-K,False
0001193125-04-093673,2004-05-25,2004-05-19,2004-05-24T22:45:20.000Z,,8-K,000-24435,04828236,"5,7",8-K,237051,0,0,,d8k.htm,FORM 8-K,False
0001193125-04-125374,2004-07-27,2004-07-27,2004-07-27T20:45:38.000Z,,8-K,000-24435,04933765,"5,7",8-K,253493,0,0,,d8k.htm,FORM 8-K,False
0001193125-04-178292,2004-10-26,2004-10-25,2004-10-26T20:35:37.000Z,34,8-K,000-24435,041097051,"1.01,2.02,5.02,8.01,9.01",8-K,257510,0,0,,d8k.htm,FORM 8-K,True
0001193125-04-197592,2004-11-15,2004-11-08,2004-11-15T22:29:25.000Z,34,8-K,000-24435,041147096,"3.01,5.02",8-K,15606,0,0,,d8k.htm,FORM 8-K,False
0001193125-04-198389,2004-11-16,2004-11-09,2004-11-16T21:19:50.000Z,34,8-K,000-24435,041149738,3.01,8-K,14257,0,0,,d8k.htm,FORM 8-K,False
0001193125-04-213852,2004-12-15,2004-12-09,2004-12-15T22:11:51.000Z,34,8-K,000-24435,041205567,"5.02,9.01",8-K,28865,0,0,,d8k.htm,FORM 8-K,False
0001193125-05-013288,2005-01-27,2005-01-26,2005-01-27T22:28:32.000Z,34,8-K,000-24435,05554860,"1.01,2.02,8.01,9.01",8-K,284274,0,0,,d8k.htm,MICROSTRATEGY INCORPORATED,True
0001193125-05-037577,2005-02-25,2005-02-21,2005-02-26T00:14:21.000Z,34,8-K,000-24435,05642936,"1.01,9.01",8-K,379760,0,0,,d8k.htm,FORM 8-K,False
0001193125-05-051150,2005-03-15,2005-03-09,2005-03-15T21:47:15.000Z,34,8-K,000-24435,05682207,"4.01,9.01",8-K,21906,0,0,,d8k.htm,MICROSTRATEGY INCORPORATED,False
0001193125-05-085330,2005-04-26,2005-04-20,2005-04-26T21:03:25.000Z,34,8-K,000-24435,05773816,1.01,8-K,16750,0,0,,d8k.htm,FORM 8-K,False
0001193125-05-088817,2005-04-28,2005-04-28,2005-04-28T21:22:00.000Z,34,8-K,000-24435,05781740,"4.01,9.01",8-K,16855,0,0,,d8k.htm,MICROSTRATEGY INCORPORATED,False
0001193125-05-088796,2005-04-28,2005-04-26,2005-04-28T21:16:49.000Z,34,8-K,000-24435,05781667,"2.02,8.01,9.01",8-K,142630,0,0,,d8k.htm,MICROSTRATEGY INCORPORATED,True
